source	target	category	domain	source_tag	status	scope	notes
Brilliant Auto-loading Orc Expeller	精良的自动装填式兽人驱逐装置	T.GAME.ENTITY	items	entity name	existing	dlc	Embers of Rage 商品实体名；重复运行时键统一
Viral Injector	病毒注射器	T.GAME.ENTITY	items	_t	existing	dlc	Embers of Rage 医疗工艺物名称；区别于 Viral grooves
vial of wight ectoplasm	一瓶尸妖灵质	T.GAME.ENTITY	items	entity name	preferred	core	炼金材料名称；ectoplasm 在奇幻亡灵语境中译作“灵质”，不是血浆
Deflection Field	偏转力场仪	T.GAME.ENTITY	items	_t	preferred	dlc	Embers of Rage 腰带工匠物名称；以磁力偏转攻击，统一物品标题与材质等级名称模板，不写作“折射力场仪”
Shocking Edge	电击之刃	T.GAME.ENTITY	items	_t	preferred	dlc	Embers of Rage 武器工匠物名称；统一物品标题、材质等级名称模板及说明引用，与 Shocking Touch“电击之触”区分
Ureslak's Focus	乌瑞斯拉克的焦点	T.GAME.ENTITY	items	entity name	preferred	dlc	Embers of Rage 乌瑞斯拉克掉落的晶化龙心神器；Focus 按物品名译作“焦点”，不误作 Will“意志”
medical injector implant	医疗注射器植入体	T.GAME.ENTITY	items	entity name	preferred	dlc	Embers of Rage 药剂配套植入体；统一实体名与各药剂说明中的引用
medical injector	医疗注射器	T.GAME.ENTITY	items	_t	preferred	dlc	Embers of Rage 用于施用药剂的通用装置；统一实体说明、格式文本与日志中的引用，不写作“医用/药物注射器”
Rod of Recall	回归之杖	T.GAME.ENTITY	items	entity name	preferred	core	核心传送工具实体名；统一物品标题、任务、对话、成就与日志中的引用，不写作“召回之杖”或“回城之杖”
Recall Portal	召回传送门	T.GAME.ENTITY	items	_t	preferred	core	护送任务终点设施；统一任务目标、完成日志与实体标题，不写作“回归传送门”
exploratory farportal	探索用远古传送门	T.GAME.ENTITY	items	_t	preferred	core	夏·图尔堡垒用于前往随机探索区域的远古传送门；与普通 farportal 区分，统一设施、任务与警告文本中的引用
Gloryhammer	光荣之锤	T.GAME.ENTITY	items	_t	preferred	dlc	Embers of Rage 神器“激光驱动的巨型粉碎器”的绰号；统一物品描述、充能日志与技能说明，不简写为“光锤”
Ablative Armour	烧蚀装甲	T.GAME.ENTITY	items	_t	preferred	dlc	Embers of Rage 护甲工匠物；通过牺牲涂层抵御重击，区别于 Reactive Armor“反应式装甲”，同步材质等级名称模板
Payload	有效载荷	T.GAME.ENTITY	items	entity name	preferred	dlc	Embers of Rage 蒸汽枪工匠物；指武器承载的爆炸载荷，统一物品名、工匠项目与配方名称，不写作结构力学语境的“荷载”
psychoportation beacon	精神传送信标	T.GAME.ENTITY	items	nil	preferred	dlc	Embers of Rage 雪人援军的灵能传送装置；统一任务说明、提取日志与“雪人精神传送信标”物品名，不写作机械语境的“传动装置”
schematic	配方	T.GAME.ENTITY	items	nil	preferred	dlc	Embers of Rage 工匠物学习配方；统一实体子类型、说明、学习日志和配方物品名，不使用孤立的“设计图”
d.steel	矮人钢	T.GAME.ENTITY	items	entity short_name	preferred	global	dwarven-steel 的界面短名；与完整材质名“矮人钢”统一，不误作表示精炼钢材的“精钢”
stralite	蓝锆石	T.GAME.ENTITY	items	nil	preferred	global	高阶金属材质名；统一装备全名、材质短名、材料块及叙事引用，不使用少数旧条目的“蓝皓石”
mastercraft	大师级	T.GAME.ENTITY	items	_t	preferred	dlc	Embers of Rage 工匠物品质前缀；与 poison groove、viral injector、focus lens 等名称模板组合时使用定语形式，不简写为名词“大师”
Frost Salve	寒霜药剂	T.GAME.ENTITY	items	_t	preferred	dlc	Embers of Rage 医疗注射器药剂及同名增益；统一物品名、状态名和使用日志，不写作“冰霜药剂”
Blood-Runed Athame	血符仪式匕首	T.GAME.ENTITY	items	entity name	preferred	core	开启传送门所需的血符仪式匕首；athame 是仪式刀具，不作“祭剑”
Athame	仪式匕首	T.GAME.ENTITY	items	_t	preferred	core	句中首字母大写的仪式匕首引用；与 Blood-Runed Athame 保持一致
athame	仪式匕首	T.GAME.ENTITY	items	_t	preferred	core	仪式匕首通用名；不作“祭剑”或“祭祀短剑”
throwing knives	飞刀	T.GAME.ENTITY	items	talent type	preferred	core	灵巧系远程投掷武器类别；在技能说明中与普通匕首 knives 并列
throwing knives	飞刀	T.GAME.ENTITY	items	tformat	preferred	core	技能机制说明中的投掷匕首；沿用飞刀类别名
voratun	沃瑞钽	T.GAME.ENTITY	items	entity subtype	preferred	global	最高级金属材料（22 处）；与 iron 铁、steel 钢并列
iron	铁	T.GAME.ENTITY	items	entity subtype	preferred	global	基础金属材料（22 处）
steel	钢	T.GAME.ENTITY	items	entity subtype	preferred	global	二级金属材料（18 处）
open door	敞开的门	T.GAME.ENTITY	items	entity name	preferred	global	地形物实体名（21 处）；与 door 内部键区分
trap	陷阱	T.GAME.ENTITY	items	entity name	preferred	global	陷阱实体（20 处）
power	能量	T.GAME.ENTITY	items	entity keyword	preferred	core	物品词缀语境（of power 能量之）；与 effect subtype 的“强度”区分；P0 审核确认
power	能量	T.GAME.ENTITY	items	entity subtype	preferred	dlc	orcs 实体子类型语境；与 effect subtype 的“强度”区分；P0 审核确认
