source	target	category	domain	source_tag	status	scope	notes
global speed	全局速度	T.GAME.STAT	combat	_t	preferred	core	装备、技能和叙述中的全局行动速度机制；不写作“整体速度”
global speed	全局速度	T.GAME.STAT	combat	tformat	preferred	core	技能与状态说明中的全局行动速度机制；不写作“整体速度”或“全体速度”
global action speed	全局速度	T.GAME.STAT	combat	tformat	preferred	core	效果说明中的全局行动速度全称；沿用界面机制名“全局速度”
Attack speed	攻击速度	T.GAME.STAT	combat	tformat	preferred	core	角色面板 Speeds/Attack Speed 行；与 Global speed 全局速度区分
Crit chance	暴击率	T.GAME.STAT	combat	tformat	preferred	core	角色面板 Crit 显示与装备词条；暴击伤害用“暴击伤害”
Physical Power	物理强度	T.GAME.STAT	combat	tformat	preferred	core	角色面板物理强度；力量属性描述与技能效果统一用此译名
Physical Save	物理豁免	T.GAME.STAT	combat	_t	preferred	core	角色面板 Physical Save 行；与 Spell Save 法术豁免、Mental Save 精神豁免并列
Spell Save	法术豁免	T.GAME.STAT	combat	_t	preferred	core	角色面板 Spell Save 行；与 Physical Save 物理豁免、Mental Save 精神豁免并列
Mental Save	精神豁免	T.GAME.STAT	combat	_t	preferred	core	角色面板 Mental Save 行；与 Physical Save 物理豁免、Spell Save 法术豁免并列
Resistances	抗性	T.GAME.STAT	combat	_t	preferred	core	角色面板 Resistances base/cap 行；单系抗性为“X抗性”，全抗为 All Resists 全部抗性
All Resists	全部抗性	T.GAME.STAT	combat	_t	preferred	core	角色面板 All Resists 行；对应 resists.all
#GOLD#Stat modifiers:	#GOLD#属性修正：	T.GAME.STAT	combat	_t	preferred	core	属性面板格式行（29 处）；标记后不保留空格
Life	生命	T.GAME.RESOURCE	combat	_t	preferred	core	角色面板第一资源行；生命值语境统一用“生命值”，面板标签“生命”
Positive energy	正能量	T.GAME.RESOURCE	combat	_t	preferred	core	太阳骑士/赞歌职业资源；与 Negative energy 负能量区分
Negative energy	负能量	T.GAME.RESOURCE	combat	_t	preferred	core	星空法师/死亡赞歌职业资源；与 Positive energy 正能量区分
Souls	灵魂	T.GAME.RESOURCE	combat	_t	preferred	core	死灵法师资源；Maximum souls 灵魂上限
Air	空气	T.GAME.RESOURCE	combat	_t	preferred	core	核心资源（resources.lua 定义 11 种之一）；面板 Air 行、空气容量/空气值语境统一
Not enough space to summon!	没有足够的空间召唤。	T.RUNTIME.LOG	combat	logSeen	preferred	global	召唤失败日志（22 处）
%s resists!	%s抵抗了效果！	T.RUNTIME.LOG	combat	logSeen	preferred	global	通用抵抗日志（18 处）
%s resists the stun!	%s抵抗了震慑！	T.RUNTIME.LOG	combat	logSeen	preferred	global	震慑抵抗日志（11 处）；与 %s resists! 通用抵抗日志并列
debilitating acid	弱化酸液	T.GAME.DAMAGE	combat	damage type	preferred	dlc	Orcs 伤害类型：酸液伤害并延长负面效果；debilitating 译为“弱化”，避免“虚弱酸液”被理解为酸液本身较弱
draining physical	生命汲取	T.GAME.DAMAGE	combat	damage type	preferred	core	从目标汲取生命造成物理伤害并治疗施法者；不写作“物理吸收”；P0 审核确认
item antimagic scouring	物品反魔清除	T.GAME.DAMAGE	combat	damage type	preferred	core	降低攻强类物品伤害类型（Reduces all offensive powers by 20%）；scouring 为清除而非灼烧；P0 审核确认
pulse detonator	脉冲爆弹	T.GAME.DAMAGE	combat	damage type	preferred	dlc	Orcs 伤害类型；与技能 Pulse Detonator 译名一致，区别于 shock grenade 震荡榴弹；P0 审核确认
power	强度	T.GAME.EFFECT	combat	effect subtype	preferred	global	效果类别：physical power/spellpower 等强度增益，不是能量；entity keyword 语境仍译“能量”；P0 审核确认
superiority	优势	T.GAME.EFFECT	combat	effect subtype	preferred	core	superiority 系效果类别（Juggernaut 等）；talent type 语境保持“战术优化”；P0 审核确认
technique	技巧	T.GAME.EFFECT	combat	effect subtype	preferred	dlc	Orcs 效果类别，近战与射击效果（STRAFING 等）共用；talent category 语境仍译“格斗”；P0 审核确认
dimensional anchor	时空锚	T.GAME.DAMAGE	combat	damage type	preferred	core	反传送锚定伤害类型；与技能名/锚定消息'时空锚'统一（P0 复审子代理 #20，用户确认）
flat	固定伤害减免	T.GAME.EFFECT	combat	effect subtype	preferred	global	flat damage reduction 机制；与正文'固定伤害减免'一致（P0 复审子代理 #83，用户确认）
